,name,description,life,male_weight,female_weight,hypoallergenic
0,Affenpinscher,"The Affenpinscher is a small and playful breed of dog that was originally bred in Germany for hunting small game. They are intelligent, energetic, and affectionate, and make excellent companion dogs.","{'max': 16, 'min': 14}","{'max': 5, 'min': 3}","{'max': 5, 'min': 3}",True
1,Afghan Hound,"The Afghan Hound is a large and elegant breed of dog that was originally bred in Afghanistan for hunting small game. They are intelligent, independent, and athletic, and make excellent companion dogs.","{'max': 14, 'min': 12}","{'max': 27, 'min': 23}","{'max': 25, 'min': 20}",False
2,Airedale Terrier,"The Airedale Terrier is a large and powerful breed of dog that was originally bred in England for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.","{'max': 14, 'min': 12}","{'max': 23, 'min': 20}","{'max': 20, 'min': 18}",False
3,Akita,"The Akita is a large, muscular dog breed that originated in Japan. They are known for their loyalty and courage.","{'max': 12, 'min': 10}","{'max': 60, 'min': 35}","{'max': 50, 'min': 35}",False
4,Alaskan Klee Kai,The Alaskan Klee Kai is a small to medium-sized breed of dog that was developed in Alaska in the 1970s. It is an active and intelligent breed that is loyal and friendly. The Alaskan Klee Kai stands between 13-17 inches at the shoulder and has a double-coat that can come in various colors and patterns.,"{'max': 15, 'min': 12}","{'max': 7, 'min': 6}","{'max': 7, 'min': 6}",False
5,Alaskan Malamute,"The Alaskan Malamute is a large and powerful sled dog from Alaska. They are strong and hardworking, yet friendly and loyal. Alaskan Malamutes have a thick, double coat that can be any color. They are active and require plenty of exercise and mental stimulation to stay healthy and happy.","{'max': 15, 'min': 12}","{'max': 39, 'min': 34}","{'max': 34, 'min': 25}",False
6,American Bulldog,"The American Bulldog is a large and powerful breed of dog that was originally bred in the United States for working on farms. They are intelligent, loyal, and protective, and make excellent guard dogs.","{'max': 14, 'min': 12}","{'max': 50, 'min': 25}","{'max': 45, 'min': 25}",False
7,American English Coonhound,"The American English Coonhound is a large and athletic breed of dog that was originally bred in the United States for hunting raccoons. They are intelligent, energetic, and determined, and make excellent hunting dogs.","{'max': 14, 'min': 12}","{'max': 30, 'min': 20}","{'max': 30, 'min': 20}",False
8,American Eskimo Dog,"The American Eskimo Dog is a small to medium-sized breed with a thick, fluffy coat that comes in white, cream, or biscuit colors. It is known for its intelligence and its ability to learn a wide variety of tricks.","{'max': 15, 'min': 12}","{'max': 20, 'min': 9}","{'max': 20, 'min': 9}",False
9,American Foxhound,"The American Foxhound is a large and athletic breed of dog that was originally bred in the United States for hunting foxes. They are intelligent, energetic, and determined, and make excellent hunting dogs.","{'max': 15, 'min': 12}","{'max': 34, 'min': 20}","{'max': 34, 'min': 20}",False
10,American Hairless Terrier,"The American Hairless Terrier is a small to medium-sized breed of terrier that originated in the United States. It is the hairless variety of the Rat Terrier, and was developed by breeding selectively for the gene that causes the hairlessness. The Hairless variety is considered to have a more mellow and laid-back temperament than its coated counterpart, and is an active and intelligent breed that loves to please and stay busy. The breed stands between 12-16 inches at the shoulder and comes in a variety of colors.","{'max': 14, 'min': 12}","{'max': 7, 'min': 6}","{'max': 7, 'min': 6}",False
11,American Leopard Hound,"The American Leopard Hound is a large, athletic dog breed that was originally bred for hunting. They are known for their spotted coats and keen sense of smell.","{'max': 15, 'min': 12}","{'max': 40, 'min': 30}","{'max': 35, 'min': 25}",False
12,American Staffordshire Terrier,"The American Staffordshire Terrier is a medium-sized breed of dog that was originally bred for dog fighting. They are intelligent, loyal, and protective, and make excellent family pets.","{'max': 14, 'min': 12}","{'max': 40, 'min': 18}","{'max': 40, 'min': 18}",False
13,American Water Spaniel,"The American Water Spaniel is a medium-sized breed of dog that was originally bred in the United States for hunting waterfowl. They are intelligent, energetic, and eager to please, and make excellent hunting dogs.","{'max': 14, 'min': 12}","{'max': 20, 'min': 15}","{'max': 20, 'min': 15}",False
14,Anatolian Shepherd Dog,"The Anatolian Shepherd Dog is a large breed of flock guardian dog that originated in Turkey. It is a powerful and athletic breed, with a long, coarse coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Anatolian Shepherd Dog is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.","{'max': 14, 'min': 12}","{'max': 70, 'min': 50}","{'max': 70, 'min': 50}",False
15,Appenzeller Sennenhund,"The Appenzeller Sennenhund is a large breed of mountain dog that originated in Switzerland. It is a powerful and athletic breed, with a thick, double coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Appenzeller Sennenhund is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.","{'max': 15, 'min': 12}","{'max': 45, 'min': 30}","{'max': 45, 'min': 30}",False
16,Australian Cattle Dog,"The Australian Cattle Dog is a medium-sized breed of dog that was originally bred in Australia for herding and guarding livestock. They are intelligent, energetic, and hardworking, and make excellent working dogs.","{'max': 15, 'min': 12}","{'max': 20, 'min': 16}","{'max': 20, 'min': 16}",False
17,Australian Kelpie,"The Australian Kelpie is a lively and intelligent herding dog from Australia. They are active, friendly, and loyal, and make great family pets. Australian Kelpies have a thick, double coat that can be any color. They are easy to train and require plenty of exercise and mental stimulation to stay healthy and happy.","{'max': 14, 'min': 12}","{'max': 20, 'min': 16}","{'max': 20, 'min': 16}",False
18,Australian Shepherd,"The Australian Shepherd is a medium-sized breed with a medium-length, double coat. They have a wedge-shaped head and a muscular body, with a straight, medium-length tail. The Australian Shepherd is an intelligent working dog that is eager to please and loves to be around its family. They are known for their loyalty and are often used in agility, obedience, and herding events.","{'max': 15, 'min': 12}","{'max': 30, 'min': 20}","{'max': 25, 'min': 17}",False
19,Australian Stumpy Tail Cattle Dog,"The Australian Stumpy Tail Cattle Dog is a medium-sized herding dog breed with a distinctive stumpy tail and a smooth, dense coat that can be blue, red, or fawn in color. They are intelligent, energetic, and obedient, and were originally bred to help farmers drive their cattle over long distances.","{'max': 15, 'min': 12}","{'max': 20, 'min': 15}","{'max': 20, 'min': 15}",False
20,Australian Terrier,"The Australian Terrier is a small breed of terrier that originated in Australia. It is a compact and lively breed, with a short, wiry coat. Its head is large and round, with small, erect ears. Its legs are short and strong, and its tail is usually docked. The Australian Terrier is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs regular exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.","{'max': 16, 'min': 14}","{'max': 6, 'min': 4}","{'max': 6, 'min': 4}",False
21,Azawakh,"The Azawakh is a small and slender breed of dog that was originally bred in Africa for hunting and guarding. They are intelligent, alert, and athletic, and make excellent companion dogs.","{'max': 14, 'min': 12}","{'max': 30, 'min': 25}","{'max': 30, 'min': 25}",False
22,Barbado da Terceira,"The Barbado da Terceira is a large, working breed of dog that originated in the Azores. It is a strong and powerful breed, with a short, wiry coat. Its head is large and round, with small, erect ears. Its legs are strong and muscular, and its tail is usually docked. The Barbado da Terceira is an intelligent and loyal breed, and it makes an excellent family pet. It is an active breed, and it needs plenty of exercise and mental stimulation. It is loyal and affectionate, and it enjoys spending time with its family.","{'max': 15, 'min': 12}","{'max': 20, 'min': 15}","{'max': 20, 'min': 15}",False
23,Barbet,"The Barbet is an ancient breed of French water dog. They are active, friendly, and highly intelligent, and make great family pets. Barbets have a unique, woolly coat that is curly or wavy and can be any color. They have webbed feet, and are very good swimmers. Barbets bond closely with their family, and do best in homes where they get plenty of attention and exercise.","{'max': 14, 'min': 12}","{'max': 30, 'min': 20}","{'max': 30, 'min': 20}",False
24,Basenji,"The Basenji is a small and agile breed of dog that was originally bred in Africa for hunting small game. They are intelligent, independent, and alert, and make excellent companion dogs.","{'max': 16, 'min': 14}","{'max': 10, 'min': 9}","{'max': 10, 'min': 9}",False
25,Basset Fauve de Bretagne,"The Basset Fauve de Bretagne is a small and playful breed of dog that was originally bred in France for hunting small game. They are intelligent, affectionate, and loyal, and make excellent companion dogs.","{'max': 15, 'min': 12}","{'max': 25, 'min': 20}","{'max': 25, 'min': 20}",False
26,Basset Hound,"The Basset Hound is a small and playful breed of dog that was originally bred in France for hunting small game. They are intelligent, affectionate, and loyal, and make excellent companion dogs.","{'max': 14, 'min': 12}","{'max': 29, 'min': 20}","{'max': 29, 'min': 20}",False
27,Bavarian Mountain Scent Houn,"The Bavarian Mountain Scent Hound is a medium-sized breed of dog that was originally bred in Germany for hunting small game. They are intelligent, energetic, and determined, and make excellent hunting dogs.","{'max': 15, 'min': 12}","{'max': 30, 'min': 20}","{'max': 30, 'min': 20}",False
28,Beagle,The Beagle is a small to medium-sized dog breed that was originally bred for hunting. They are known for their cheerful dispositions and keen sense of smell.,"{'max': 15, 'min': 12}","{'max': 11, 'min': 9}","{'max': 11, 'min': 9}",False
29,Bearded Collie,"The Bearded Collie is a medium-sized herding dog with a shaggy, thick double coat and a distinctive ""beard"" around the face.","{'max': 14, 'min': 12}","{'max': 25, 'min': 20}","{'max': 25, 'min': 20}",False
30,Beauceron,"The Beauceron is a large and powerful breed of dog that was originally bred in France for herding and guarding livestock. They are intelligent, loyal, and protective, and make excellent working dogs.","{'max': 14, 'min': 12}","{'max': 30, 'min': 25}","{'max': 30, 'min': 25}",False
31,Bedlington Terrier,"The Bedlington Terrier is a small and athletic breed of dog that was originally bred in England for hunting small game. They are intelligent, playful, and affectionate, and make excellent companion dogs.","{'max': 14, 'min': 12}","{'max': 9, 'min': 7}","{'max': 9, 'min': 7}",False
32,Belgian Laekenois,"The Belgian Laekenois is a strong and agile breed with a wiry, rough coat. They have a powerful, muscular frame and a large, rectangular head with medium-sized eyes. The Belgian Laekenois is an intelligent and alert breed with an independent and lively nature. They are a loyal and devoted companion for families and are known for their protective nature and courage.","{'max': 15, 'min': 12}","{'max': 30, 'min': 25}","{'max': 30, 'min': 25}",False
